Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.8639715,-0.309658601,-8.520749175,-4.307886138,9.552849728
0.8740035,-1.207945291,-7.751485975,-4.505795092,9.046925227
0.8840355,-1.229391709,-8.063476446,-4.655218934,9.391598356
0.8940675,4.351220731,-10.95786223,-3.870141647,12.40910403
0.9041005,1.924389423,-10.06217053,-0.216637732,10.24682792
0.9141325,1.380304252,-10.67132644,-0.202652215,10.76213342
0.9241645,2.417800868,-11.5909812,-2.14537222,12.03325509
0.9341965,3.71271706,-11.71700156,-0.708700663,12.3115657
0.9442285,4.098122247,-12.19430743,0.201352891,12.86609042
0.9542605,7.352841523,-13.64512326,1.605485789,15.58304373
0.9642925,7.729920859,-13.46612712,3.620531028,15.94354105
0.9743245,8.777706821,-13.63350133,4.257883966,16.76454805
0.9843565,9.720116016,-13.02246262,4.751171451,16.93041105
0.9943895,9.899013333,-11.87888289,5.414612911,16.38341713
1.0044215,9.73646834,-10.60586686,5.828229743,15.53227252
1.0144535,9.262881294,-9.187129446,6.075502646,14.39152701
1.0244855,9.021050979,-8.335027573,6.601085472,13.94368584
1.0345175,8.898175836,-7.573450538,7.290575109,13.7726966
1.0445495,8.832491139,-6.831627152,8.183017507,13.84361964
1.0545815,8.918446963,-6.378208323,9.043621817,14.21292838
1.0646135,8.992389098,-5.701873167,9.489127024,14.26246651
1.0746455,9.040735631,-4.69795711,9.491831946,13.92481869
1.0846785,8.788615386,-4.288004143,9.021072614,13.30437864
1.0947105,8.348732861,-4.095093389,8.179534321,12.3845029
1.1047425,8.161335447,-3.554593731,7.885302429,11.8920363
1.1147745,7.866606542,-3.103082848,7.763245311,11.47957314
1.1248065,7.704426414,-2.870815655,7.561156182,11.17008736
1.1348385,7.489441252,-2.755654158,7.326696868,10.83355192
1.1448705,7.354054821,-2.650885502,7.35345782,10.7323184
1.1549025,7.361750341,-2.637096013,7.45508886,10.804073
1.1649345,7.187781057,-2.864931602,7.957944728,11.09959071
1.1749675,7.317402719,-2.898170099,8.567652031,11.63393458
1.1849995,7.625372059,-2.517026364,9.280147537,12.27203565
1.1950315,7.990998453,-2.006053975,9.966314785,12.93088316
1.2050635,8.386984177,-1.391178319,10.50482697,13.51400276
1.2150955,8.701021757,-0.735013134,10.61830389,13.7475962
1.2251275,9.126826526,-0.044797273,10.59519218,13.98424351
1.2351595,9.565977564,0.703679659,10.52513085,14.24013593
1.2451915,10.1674859,1.144428742,10.32418426,14.53534545
1.2552235,11.03465488,1.165775172,10.24340615,15.10132476
1.2652565,11.74686095,1.190245185,10.21042551,15.60955524
1.2752885,12.48342886,1.2039265,10.14173593,16.12886365
1.2853205,13.28971312,1.131878278,10.0663548,16.71015027
1.2953525,13.84869641,1.279610521,10.15363385,17.21975829
1.3053845,14.2021641,1.505576169,10.07527648,17.47796959
1.3154165,14.43869099,1.659545637,9.623267999,17.43092586
1.3254485,14.32765939,2.011221744,9.02470432,17.05204165
1.3354805,14.14151211,2.314134412,8.585328164,16.70465332
1.3455125,13.88711496,2.465301309,7.923581226,16.17754035
1.3555455,13.33043781,2.490948367,7.305780208,15.40388978
1.3655775,12.64600016,2.244213992,6.776049952,14.52145549
1.3756095,11.96354824,1.700053393,6.194037402,13.57876162
1.3856415,11.24934593,1.107790673,5.780935124,12.69622758
1.3956735,10.61749697,0.423552421,5.421993851,11.92931917
1.4057055,10.20125474,-0.616512877,4.902623107,11.3349636
1.4157375,9.703319305,-1.432819265,4.830450339,10.93346363
1.4257695,9.341233984,-2.31321523,4.521971707,10.63286627
1.4358025,8.963945317,-3.197991929,4.27653863,10.43399495
1.4458345,8.533193219,-3.963543901,4.109660265,10.26715025
1.4558665,7.968599524,-4.542317678,3.915566912,9.973108468
1.465898,7.295777961,-4.977544066,3.459134427,9.485248124
1.47593,6.635570011,-4.973029431,3.249363519,8.906187421
1.485962,5.969763352,-4.886937366,2.901706495,8.242580414
1.495994,5.335621705,-4.7947794,2.582784443,7.62427334
1.506026,4.882975585,-4.621038743,2.363959268,7.126412355
1.516058,4.447444558,-4.586420887,1.752481867,6.624666961
1.526091,4.114400895,-4.685960963,1.33818588,6.377873182
1.536123,3.843294742,-5.114002876,0.908826005,6.461416609
1.546155,3.541410599,-5.79679862,0.580640355,6.817742038
1.556187,3.250466596,-6.540942181,0.415837897,7.315899047
1.566219,2.935362484,-7.356427621,0.240969312,7.924105404
1.576251,2.570364665,-8.08812246,0.329845382,8.493132367
1.586283,2.254741319,-8.841374229,0.537738603,9.140181589
1.596315,1.874492208,-9.460742301,0.738920097,9.672919354
1.606347,1.48222239,-10.04243618,0.770946905,10.18046496
1.61638,1.129196745,-10.30278229,1.248299558,10.43938024
1.626412,0.878681561,-10.67151706,1.842934493,10.86507088
1.636444,1.035455353,-11.47607054,2.088216418,11.71038047
1.646476,0.857837407,-11.98740721,2.54542015,12.28466444
1.656508,0.718642684,-12.4232844,3.083492629,12.82038881
1.66654,0.367363603,-12.77090137,3.63188749,13.28237496
1.676572,-0.234733549,-12.85895108,4.171892474,13.52081394
1.686604,-0.68573397,-12.82988691,4.642874585,13.66135109
1.696637,-0.874574477,-12.76445891,4.985340158,13.73134765
1.706669,-1.127817972,-12.67271492,5.215523404,13.75032222
1.716701,-1.749721397,-12.52714381,5.371721245,13.74213397
1.726733,-2.772122841,-12.12676157,5.483870257,13.59469912
1.736765,-4.182687603,-11.6305493,5.626270423,13.58011309
1.746797,-5.716543831,-10.95857442,5.820369331,13.66184196
1.756829,-7.098449636,-10.15245505,5.911013453,13.72590291
1.766861,-8.359777667,-9.417143707,5.831630484,13.87718964
1.776894,-9.458985212,-8.895665041,5.838696259,14.23712161
1.786926,-10.34890746,-8.561738157,6.005926627,14.71306904
1.796958,-10.58302179,-8.512482966,6.080001494,14.88049511
1.80699,-10.13485025,-8.709901339,6.198987654,14.73109021
1.817022,-9.280367392,-9.142280132,6.550259135,14.5812345
1.827054,-8.406697479,-9.621527283,6.860469713,14.50215137
1.837086,-7.622312211,-10.37115144,6.878054629,14.59342527
1.847118,-7.268165655,-11.09534664,6.857059032,14.93158423
1.85715,-7.217590747,-11.37492892,6.509731498,14.96192595
1.867183,-7.199094835,-11.23175516,5.799681882,14.54701345
1.877215,-7.31085793,-10.55173802,5.085746791,13.80770217
1.887247,-7.584115275,-9.634376539,4.451408093,13.04434934
1.897279,-7.78379652,-8.920213407,3.977756728,12.4892051
1.907311,-7.810540515,-8.449005593,3.504733939,12.02802555
1.917343,-7.641672342,-8.227261049,3.142001916,11.65998099
1.927375,-7.280006851,-8.206567168,2.846326931,11.33348232
1.937407,-6.687358215,-8.395890071,2.534066904,11.0287454
1.94744,-6.034327138,-8.60796332,2.373226374,10.77693555
1.957472,-5.541719685,-8.569848245,2.446562737,10.4946951
1.967504,-4.990127274,-8.347534767,2.530454494,10.04917444
1.977536,-4.314204347,-7.949583794,2.367390853,9.349480258
1.987568,-3.582890162,-7.323203741,2.147277682,8.430730478
1.9976,-2.756823016,-6.874559163,1.8187852,7.626769725
2.007632,-1.903864526,-6.504701723,1.500898105,6.941796581
2.017664,-1.209110057,-6.159876214,1.012324353,6.358523625
2.027697,-0.483715008,-5.925451398,0.578579942,5.97324947
2.037729,0.234503753,-5.714906026,0.198784282,5.723168536
2.047761,0.71061972,-5.581211194,0.007737036,5.626273957
2.057793,1.131112878,-5.699045454,0.148141255,5.812097836
2.067825,1.477862121,-5.978265789,0.362126836,6.168863277
2.077857,2.016797065,-6.409530103,0.569948283,6.743469996
2.087889,2.625405675,-6.744424117,0.798943082,7.281368118
2.097921,3.272860263,-6.871267181,1.249968646,7.712869025
2.107953,4.080563935,-6.867578757,1.497903161,8.127629045
2.117986,4.930043625,-6.638543905,1.392965813,8.385460576
2.128018,5.758929713,-6.191651738,1.002467409,8.515090345
2.13805,6.123305973,-5.354823961,0.220366648,8.137418335
2.148082,8.666292804,-4.790718509,0.099934763,9.902807772
2.158114,8.7816151,-3.570879396,0.125133046,9.480696267
2.168146,9.527045633,-3.331979122,-0.876091537,10.13085484
2.178178,10.30699111,-2.764834871,-0.224406781,10.67374049
2.18821,11.17916297,-2.731138537,0.123494364,11.50860779
2.198243,11.72040698,-2.660174974,0.31946789,12.02275053
2.208275,13.38736396,-2.515920655,1.531966993,13.70759984
2.218307,13.79734499,-2.021294743,2.135915665,14.1072498
2.228339,15.03164076,-1.718328865,2.654666604,15.36066837
2.238371,16.36074796,-0.984960553,3.594606813,16.77991118
2.248403,17.67917113,-0.081258171,4.099681992,18.14847341
2.258435,18.67336385,0.783847325,4.677695631,19.26628585
2.268467,19.25979514,1.38047616,4.888628089,19.91843638
2.2785,19.6326487,1.270750235,4.532235324,20.18902816
2.288532,19.94551683,0.778179619,4.022871505,20.36204068
2.298564,19.4311747,0.361211162,2.976838539,19.66119506
2.308596,20.8651903,-0.504757383,2.695644476,21.04465361
2.318628,20.82266701,-0.722030561,3.254727463,21.08786477
2.32866,20.40387305,-1.089784757,2.458729039,20.58035507
2.338692,19.91418511,-0.901341861,1.962287566,20.03092006
2.348724,19.2279898,-0.467036995,2.37036767,19.37917331
2.358757,18.30375901,-0.473142657,2.320709022,18.45635794
2.368789,17.18910078,-0.284925463,2.453920289,17.36571603
2.378821,16.24337446,-0.169758704,2.381921183,16.41796518
2.388853,15.41963042,-0.113117895,2.11008442,15.56374807
2.398885,14.8357146,-0.274606882,1.779497465,14.94457921
2.408917,14.42163116,-0.617531462,1.316961365,14.49479829
2.418949,14.20406562,-1.144645674,0.870096387,14.27665092
2.428981,14.22525242,-1.726376973,0.552563341,14.3402758
2.439014,14.34993845,-2.295052024,0.479491272,14.54021695
2.449046,14.25876515,-2.748140486,0.845879266,14.54579566
2.45907875,13.86473181,-3.165773186,1.455096864,14.2958111
2.46911075,13.21587916,-3.681468371,2.079380983,13.87575211
2.47914275,12.48504152,-4.455129846,2.907708077,13.57126412
2.48917475,11.64337459,-5.2558727,3.794415235,13.32628818
2.49920675,10.85109441,-6.190044338,4.276594471,13.20424776
2.50923875,10.16110425,-7.247486392,4.413282493,13.23824614
2.51927175,9.736630892,-8.563732057,4.419858856,13.69943941
2.52930375,9.39798355,-10.07885381,4.398507164,14.46555406
