Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.87538275,-8.802145844,-8.168513489,12.99058594,17.6906107
0.88541575,-8.755143585,-7.228917389,12.08856171,16.58442371
0.89544875,-8.660091248,-6.393953705,11.39250916,15.67383454
0.90548075,-8.466843109,-5.635780334,10.8889563,14.90029602
0.91551375,-8.21162384,-5.014572144,10.50111282,14.24254438
0.92554675,-7.833510132,-4.52703598,10.12240036,13.57648426
0.93557975,-7.421716461,-4.111799469,9.709259491,12.89412618
0.94561275,-7.05557785,-3.764072571,9.336384888,12.29298596
0.95564575,-6.792874146,-3.566782837,8.95587616,11.79291299
0.96567775,-6.554420013,-3.255579987,8.342302094,11.09744236
0.97571075,-6.331084442,-2.753074951,7.52949234,10.21544452
0.98574375,-6.147715759,-2.262844391,6.738237762,9.397804102
0.99577675,-5.979615326,-1.882485352,6.112838287,8.755931845
1.00580975,-5.783972168,-1.544039154,5.597160645,8.19552306
1.01584275,-5.639073486,-1.19930603,5.145250397,7.727294894
1.02587475,-5.519023132,-0.873583374,4.80321167,7.368419545
1.03590775,-5.38235733,-0.604742432,4.537065125,7.065440098
1.04594075,-5.203628998,-0.372874603,4.286336517,6.751997553
1.05597375,-5.050946503,-0.199984131,4.167184296,6.551143349
1.06600675,-4.891977081,-0.150886231,4.193379822,6.445047769
1.07603975,-4.57149353,-0.14624588,4.204307098,6.212579105
1.08607275,-4.262985077,-0.145198059,4.290527802,6.050020914
1.09610475,-3.989503784,-0.243693237,4.537813568,6.047088458
1.10613775,-3.622167664,-0.46687912,4.975353699,6.171889429
1.11617075,-3.25872345,-0.89633606,5.587580566,6.530218483
1.12620375,-3.155288544,-1.506167908,6.364315338,7.261466607
1.13623675,-3.445834351,-1.982776794,6.985224152,8.03732136
1.14626975,-3.859424286,-2.128872986,7.427105255,8.63650094
1.15630175,-4.060605927,-2.169139252,7.649842072,8.92825679
1.16633475,-4.395160217,-2.139800262,8.015531616,9.388552902
1.17636775,-4.907095642,-2.037413177,8.557853851,10.07310789
1.18640075,-5.418432312,-1.776805115,8.921298065,10.58801229
1.19643375,-5.92063797,-1.370998993,9.159153442,10.99198271
1.20646675,-6.419700165,-0.977467346,9.466464386,11.47963155
1.21649975,-6.923103333,-0.636027374,9.787696381,12.00553585
1.22653175,-7.283553772,-0.545914764,10.25442581,12.58973499
1.23656475,-7.436385956,-0.760119324,10.76636124,13.10695051
1.24659775,-7.408094788,-1.278191986,11.37828873,13.63741535
1.25663075,-7.1398526,-2.136507111,12.02269867,14.14522679
1.26666375,-6.905589752,-3.057990875,12.63193176,14.71747866
1.27669675,-6.736291809,-3.900289307,12.9685817,15.1252767
1.28672975,-6.456373901,-4.551135864,12.99612442,15.20844672
1.29676175,-6.097420349,-5.016518097,12.8955336,15.12080605
1.30679475,-5.73337738,-5.357658691,12.73072632,14.95484923
1.31682775,-5.522465973,-5.597759399,12.62699203,14.87526365
1.32686075,-5.363197174,-5.792654114,12.48763184,14.77361413
1.33689375,-5.293591919,-5.829477539,12.32551895,14.62611846
1.34692675,-5.316943359,-5.994584198,12.72384064,15.03665677
1.35695975,-5.31918869,-6.627468109,13.57347382,16.01425282
1.36699175,-5.144951019,-7.54700592,14.29003372,16.95974301
1.37702475,-4.762346649,-8.250393219,14.42744797,17.28873011
1.38705775,-4.267475739,-8.487051086,13.94619873,16.87417685
1.39709075,-3.855083313,-8.329279175,13.16452423,16.04815432
1.40712375,-3.592229919,-7.982001343,12.54196884,15.29435986
1.41715675,-3.484154663,-7.735613708,12.3089035,14.94952035
1.42718975,-3.495531006,-7.437433777,12.32312393,14.81193916
1.43722175,-3.789819031,-7.246131592,12.78506332,15.17652778
1.44725475,-4.166286163,-7.356601868,13.47363144,15.90648533
1.45728775,-4.324507141,-7.451205139,13.81641861,16.28235988
1.46732075,-4.346212006,-7.400460663,13.73349106,16.1946026
1.47735375,-4.348756714,-7.395520935,13.504617,15.99937797
1.48738675,-4.417014771,-7.502997437,13.25733124,15.86070054
