sitution,time
rest,0:0:48:20
rest,0:0:48:30
rest,0:0:48:40
rest,0:0:48:50
rest,0:0:49:0
rest,0:0:49:10
rest,0:0:49:20
rest,0:0:49:30
rest,0:0:49:40
rest,0:0:49:50
rest,0:0:50:0
rest,0:0:50:10
rest,0:0:50:20
rest,0:0:50:30
rest,0:0:50:40
rest,0:0:50:50
rest,0:0:51:0
rest,0:0:51:10
rest,0:0:51:20
rest,0:0:51:30
rest,0:0:51:40
rest,0:0:51:50
rest,0:0:52:0
rest,0:0:52:10
rest,0:0:52:20
rest,0:0:52:30
rest,0:0:52:40
rest,0:0:52:50
rest,0:0:53:0
rest,0:0:53:10
rest,0:0:53:20
rest,0:0:53:30
rest,0:0:53:40
rest,0:0:53:50
rest,0:0:54:0
rest,0:0:54:10
rest,0:0:54:20
rest,0:0:54:30
rest,0:0:54:40
rest,0:0:54:50
rest,0:0:55:0
rest,0:0:55:10
rest,0:0:55:20
rest,0:0:55:30
rest,0:0:55:40
rest,0:0:55:50
rest,0:0:56:0
rest,0:0:56:10
rest,0:0:56:20
rest,0:0:56:30
rest,0:0:56:40
rest,0:0:56:50
rest,0:0:57:0
rest,0:0:57:10
rest,0:0:57:20
rest,0:0:57:30
rest,0:0:57:40
rest,0:0:57:50
rest,0:0:58:0
rest,0:0:58:10
rest,0:0:58:20
rest,0:0:58:30
rest,0:0:58:40
rest,0:0:58:50
rest,0:0:59:0
rest,0:0:59:10
rest,0:0:59:20
rest,0:0:59:30
rest,0:0:59:40
rest,0:0:59:50
rest,0:1:0:0
rest,0:1:0:10
rest,0:1:0:20
rest,0:1:0:30
rest,0:1:0:40
rest,0:1:0:50
rest,0:1:1:0
rest,0:1:1:10
rest,0:1:1:20
rest,0:1:1:30
rest,0:1:1:40
rest,0:1:1:50
rest,0:1:2:0
rest,0:1:2:10
rest,0:1:2:20
rest,0:1:2:30
rest,0:1:2:40
rest,0:1:2:50
rest,0:1:3:0
rest,0:1:3:10
rest,0:1:3:20
rest,0:1:3:30
rest,0:1:3:40
rest,0:1:3:50
rest,0:1:4:0
rest,0:1:4:10
rest,0:1:4:20
rest,0:1:4:30
rest,0:1:4:40
rest,0:1:4:50
rest,0:1:5:0
rest,0:1:5:10
rest,0:1:5:20
rest,0:1:5:30
rest,0:1:5:40
rest,0:1:5:50
rest,0:1:6:0
rest,0:1:6:10
rest,0:1:6:20
rest,0:1:6:30
rest,0:1:6:40
rest,0:1:6:50
rest,0:1:7:0
rest,0:1:7:10
rest,0:1:7:20
rest,0:1:7:30
rest,0:1:7:40
rest,0:1:7:50
rest,0:1:8:0
rest,0:1:8:10
rest,0:1:8:20
rest,0:1:8:30
rest,0:1:8:40
rest,0:1:8:50
rest,0:1:9:0
rest,0:1:9:10
rest,0:1:9:20
rest,0:1:9:30
rest,0:1:9:40
rest,0:1:9:50
rest,0:1:10:0
rest,0:1:10:10
rest,0:1:10:20
rest,0:1:10:30
rest,0:1:10:40
rest,0:1:10:50
rest,0:1:11:0
rest,0:1:11:10
rest,0:1:11:20
rest,0:1:11:30
rest,0:1:11:40
rest,0:1:11:50
rest,0:1:12:0
rest,0:1:12:10
rest,0:1:12:20
rest,0:1:12:30
rest,0:1:12:40
rest,0:1:12:50
rest,0:1:13:0
rest,0:1:13:10
rest,0:1:13:20
rest,0:1:13:30
rest,0:1:13:40
rest,0:1:13:50
rest,0:1:14:0
rest,0:1:14:10
rest,0:1:14:20
rest,0:1:14:30
rest,0:1:14:40
rest,0:1:14:50
rest,0:1:15:0
rest,0:1:15:10
rest,0:1:15:20
rest,0:1:15:30
rest,0:1:15:40
rest,0:1:15:50
rest,0:1:16:0
rest,0:1:16:10
rest,0:1:16:20
rest,0:1:16:30
rest,0:1:16:40
rest,0:1:16:50
rest,0:1:17:0
rest,0:1:17:10
rest,0:1:17:20
rest,0:1:17:30
rest,0:1:17:40
rest,0:1:17:50
rest,0:1:18:0
rest,0:1:18:10
rest,0:1:18:20
rest,0:1:18:30
rest,0:1:18:40
rest,0:1:18:50
rest,0:1:19:0
rest,0:1:19:10
rest,0:1:19:20
rest,0:1:19:30
rest,0:1:19:40
rest,0:1:19:50
rest,0:1:20:0
rest,0:1:20:10
rest,0:1:20:20
rest,0:1:20:30
rest,0:1:20:40
rest,0:1:20:50
rest,0:1:21:0
rest,0:1:21:10
rest,0:1:21:20
rest,0:1:21:30
rest,0:1:21:40
rest,0:1:21:50
rest,0:1:22:0
rest,0:1:22:10
rest,0:1:22:20
rest,0:1:22:30
rest,0:1:22:40
rest,0:1:22:50
rest,0:1:23:0
rest,0:1:23:10
rest,0:1:23:20
rest,0:1:23:30
rest,0:1:23:40
rest,0:1:23:50
rest,0:1:24:0
rest,0:1:24:10
rest,0:1:24:20
rest,0:1:24:30
rest,0:1:24:40
rest,0:1:24:50
rest,0:1:25:0
rest,0:1:25:10
rest,0:1:25:20
rest,0:1:25:30
rest,0:1:25:40
rest,0:1:25:50
rest,0:1:26:0
rest,0:1:26:10
rest,0:1:26:20
rest,0:1:26:30
rest,0:1:26:40
rest,0:1:26:50
rest,0:1:27:0
rest,0:1:27:10
rest,0:1:27:20
rest,0:1:27:30
rest,0:1:27:40
rest,0:1:27:50
rest,0:1:28:0
rest,0:1:28:10
rest,0:1:28:20
rest,0:1:28:30
rest,0:1:28:40
rest,0:1:28:50
rest,0:1:29:0
rest,0:1:29:10
rest,0:1:29:20
rest,0:1:29:30
rest,0:1:29:40
rest,0:1:29:50
rest,0:1:30:0
rest,0:1:30:10
rest,0:1:30:20
rest,0:1:30:30
rest,0:1:30:40
rest,0:1:30:50
rest,0:1:31:0
rest,0:1:31:10
rest,0:1:31:20
rest,0:1:31:30
rest,0:1:31:40
rest,0:1:31:50
rest,0:1:32:0
rest,0:1:32:10
rest,0:1:32:20
rest,0:1:32:30
rest,0:1:32:40
rest,0:1:32:50
rest,0:1:33:0
rest,0:1:33:10
rest,0:1:33:20
rest,0:1:33:30
rest,0:1:33:40
rest,0:1:33:50
rest,0:1:34:0
rest,0:1:34:10
rest,0:1:34:20
rest,0:1:34:30
rest,0:1:34:40
rest,0:1:34:50
rest,0:1:35:0
rest,0:1:35:10
rest,0:1:35:20
rest,0:1:35:30
rest,0:1:35:40
rest,0:1:35:50
rest,0:1:36:0
rest,0:1:36:10
rest,0:1:36:20
rest,0:1:36:30
rest,0:1:36:40
walk,0:1:36:50
walk,0:1:37:0
walk,0:1:37:10
walk,0:1:37:20
walk,0:1:37:30
walk,0:1:37:40
walk,0:1:37:50
walk,0:1:38:0
walk,0:1:38:10
walk,0:1:38:20
walk,0:1:38:30
walk,0:1:38:40
walk,0:1:38:50
walk,0:1:39:0
walk,0:1:39:10
walk,0:1:39:20
walk,0:1:39:30
walk,0:1:39:40
walk,0:1:39:50
walk,0:1:40:0
walk,0:1:40:10
walk,0:1:40:20
walk,0:1:40:30
walk,0:1:40:40
walk,0:1:40:50
walk,0:1:41:0
walk,0:1:41:10
walk,0:1:41:20
walk,0:1:41:30
walk,0:1:41:40
walk,0:1:41:50
walk,0:1:42:0
walk,0:1:42:10
walk,0:1:42:20
walk,0:1:42:30
walk,0:1:42:40
walk,0:1:42:50
walk,0:1:43:0
walk,0:1:43:10
walk,0:1:43:20
walk,0:1:43:30
walk,0:1:43:40
walk,0:1:43:50
walk,0:1:44:0
walk,0:1:44:10
walk,0:1:44:20
walk,0:1:44:30
walk,0:1:44:40
walk,0:1:44:50
walk,0:1:45:0
walk,0:1:45:10
walk,0:1:45:20
walk,0:1:45:30
walk,0:1:45:40
walk,0:1:45:50
walk,0:1:46:0
walk,0:1:46:10
walk,0:1:46:20
walk,0:1:46:30
walk,0:1:46:40
walk,0:1:46:50
walk,0:1:47:0
walk,0:1:47:10
walk,0:1:47:20
walk,0:1:47:30
walk,0:1:47:40
walk,0:1:47:50
walk,0:1:48:0
walk,0:1:48:10
walk,0:1:48:20
walk,0:1:48:30
walk,0:1:48:40
walk,0:1:48:50
walk,0:1:49:0
walk,0:1:49:10
walk,0:1:49:20
walk,0:1:49:30
walk,0:1:49:40
walk,0:1:49:50
rest,0:1:50:0
rest,0:1:50:10
rest,0:1:50:20
rest,0:1:50:30
rest,0:1:50:40
rest,0:1:50:50
rest,0:1:51:0
rest,0:1:51:10
rest,0:1:51:20
rest,0:1:51:30
rest,0:1:51:40
rest,0:1:51:50
rest,0:1:52:0
rest,0:1:52:10
rest,0:1:52:20
rest,0:1:52:30
rest,0:1:52:40
rest,0:1:52:50
rest,0:1:53:0
rest,0:1:53:10
rest,0:1:53:20
rest,0:1:53:30
rest,0:1:53:40
rest,0:1:53:50
rest,0:1:54:0
rest,0:1:54:10
rest,0:1:54:20
rest,0:1:54:30
rest,0:1:54:40
rest,0:1:54:50
walk,0:1:55:0
walk,0:1:55:10
walk,0:1:55:20
walk,0:1:55:30
walk,0:1:55:40
walk,0:1:55:50
walk,0:1:56:0
walk,0:1:56:10
walk,0:1:56:20
walk,0:1:56:30
walk,0:1:56:40
walk,0:1:56:50
walk,0:1:57:0
walk,0:1:57:10
walk,0:1:57:20
walk,0:1:57:30
walk,0:1:57:40
walk,0:1:57:50
walk,0:1:58:0
walk,0:1:58:10
walk,0:1:58:20
walk,0:1:58:30
walk,0:1:58:40
walk,0:1:58:50
walk,0:1:59:0
walk,0:1:59:10
walk,0:1:59:20
walk,0:1:59:30
walk,0:1:59:40
walk,0:1:59:50
walk,0:2:0:0
walk,0:2:0:10
walk,0:2:0:20
walk,0:2:0:30
walk,0:2:0:40
walk,0:2:0:50
walk,0:2:1:0
walk,0:2:1:10
walk,0:2:1:20
walk,0:2:1:30
walk,0:2:1:40
walk,0:2:1:50
walk,0:2:2:0
walk,0:2:2:10
walk,0:2:2:20
walk,0:2:2:30
walk,0:2:2:40
walk,0:2:2:50
walk,0:2:3:0
walk,0:2:3:10
walk,0:2:3:20
walk,0:2:3:30
walk,0:2:3:40
walk,0:2:3:50
walk,0:2:4:0
walk,0:2:4:10
walk,0:2:4:20
walk,0:2:4:30
walk,0:2:4:40
walk,0:2:4:50
walk,0:2:5:0
walk,0:2:5:10
walk,0:2:5:20
walk,0:2:5:30
walk,0:2:5:40
walk,0:2:5:50
walk,0:2:6:0
walk,0:2:6:10
walk,0:2:6:20
walk,0:2:6:30
walk,0:2:6:40
walk,0:2:6:50
walk,0:2:7:0
walk,0:2:7:10
walk,0:2:7:20
walk,0:2:7:30
walk,0:2:7:40
walk,0:2:7:50
walk,0:2:8:0
walk,0:2:8:10
walk,0:2:8:20
walk,0:2:8:30
walk,0:2:8:40
walk,0:2:8:50
walk,0:2:9:0
walk,0:2:9:10
walk,0:2:9:20
walk,0:2:9:30
walk,0:2:9:40
walk,0:2:9:50
walk,0:2:10:0
walk,0:2:10:10
walk,0:2:10:20
walk,0:2:10:30
walk,0:2:10:40
walk,0:2:10:50
walk,0:2:11:0
walk,0:2:11:10
walk,0:2:11:20
walk,0:2:11:30
walk,0:2:11:40
walk,0:2:11:50
rest,0:2:12:0
rest,0:2:12:10
rest,0:2:12:20
rest,0:2:12:30
rest,0:2:12:40
rest,0:2:12:50
rest,0:2:13:0
rest,0:2:13:10
rest,0:2:13:20
rest,0:2:13:30
rest,0:2:13:40
rest,0:2:13:50
rest,0:2:14:0
rest,0:2:14:10
rest,0:2:14:20
rest,0:2:14:30
rest,0:2:14:40
rest,0:2:14:50
rest,0:2:15:0
rest,0:2:15:10
rest,0:2:15:20
rest,0:2:15:30
rest,0:2:15:40
rest,0:2:15:50
rest,0:2:16:0
rest,0:2:16:10
rest,0:2:16:20
rest,0:2:16:30
rest,0:2:16:40
rest,0:2:16:50
rest,0:2:17:0
rest,0:2:17:10
rest,0:2:17:20
rest,0:2:17:30
rest,0:2:17:40
rest,0:2:17:50
rest,0:2:18:0
rest,0:2:18:10
rest,0:2:18:20
rest,0:2:18:30
rest,0:2:18:40
rest,0:2:18:50
rest,0:2:19:0
rest,0:2:19:10
rest,0:2:19:20
rest,0:2:19:30
rest,0:2:19:40
rest,0:2:19:50
rest,0:2:20:0
rest,0:2:20:10
rest,0:2:20:20
rest,0:2:20:30
rest,0:2:20:40
rest,0:2:20:50
rest,0:2:21:0
rest,0:2:21:10
rest,0:2:21:20
rest,0:2:21:30
rest,0:2:21:40
rest,0:2:21:50
rest,0:2:22:0
rest,0:2:22:10
rest,0:2:22:20
rest,0:2:22:30
rest,0:2:22:40
rest,0:2:22:50
rest,0:2:23:0
rest,0:2:23:10
rest,0:2:23:20
rest,0:2:23:30
rest,0:2:23:40
rest,0:2:23:50
rest,0:2:24:0
rest,0:2:24:10
rest,0:2:24:20
rest,0:2:24:30
rest,0:2:24:40
rest,0:2:24:50
rest,0:2:25:0
rest,0:2:25:10
walk,0:2:25:20
walk,0:2:25:30
walk,0:2:25:40
walk,0:2:25:50
walk,0:2:26:0
walk,0:2:26:10
walk,0:2:26:20
walk,0:2:26:30
walk,0:2:26:40
walk,0:2:26:50
walk,0:2:27:0
walk,0:2:27:10
walk,0:2:27:20
rest,0:2:27:30
rest,0:2:27:40
rest,0:2:27:50
rest,0:2:28:0
rest,0:2:28:10
rest,0:2:28:20
rest,0:2:28:30
rest,0:2:28:40
rest,0:2:28:50
rest,0:2:29:0
rest,0:2:29:10
rest,0:2:29:20
rest,0:2:29:30
rest,0:2:29:40
rest,0:2:29:50
rest,0:2:30:0
rest,0:2:30:10
rest,0:2:30:20
rest,0:2:30:30
rest,0:2:30:40
rest,0:2:30:50
rest,0:2:31:0
rest,0:2:31:10
rest,0:2:31:20
rest,0:2:31:30
rest,0:2:31:40
rest,0:2:31:50
rest,0:2:32:0
rest,0:2:32:10
rest,0:2:32:20
rest,0:2:32:30
rest,0:2:32:40
rest,0:2:32:50
rest,0:2:33:0
