maxAmpl,avgAmpl,maxSlope,peakAboveRate,stdDiviation,situation
6.106936184504582,0.7993137964541009,134.69184481952462,0.3333333333333333,0.6527656527552299,rest
14.2876410544324,1.286839858677319,242.62571188650077,0.38235294117647056,2.1966337437997456,rest
12.583751261963641,1.2491230382419216,294.9703993289824,0.5,1.6188116718360048,rest
9.165768102431409,1.9454438407424999,162.24191257552042,0.4166666666666667,1.8420366743285563,rest
4.4388904468802615,1.3049652862668244,84.90092059298226,0.425,0.7920655784165413,rest
6.335725422104571,1.2808390612507923,111.29237614833771,0.3902439024390244,0.9650685879083045,rest
105.2234350150883,12.897686219630316,2615.3906729661767,0.2727272727272727,70.29322858254173,rest
21.1020506214244,2.3050984092914866,475.8666378514521,0.4,3.4982311693529793,rest
2.802464474626202,0.21293298010874864,47.62366372220479,0.21951219512195122,0.10824721032007603,rest
14.394698475979578,2.0939873133346185,300.88119923039585,0.38461538461538464,2.5534747500069948,rest
28.021475038080652,13.125768395468684,361.9490213124266,0.5625,30.024497918431507,walk
17.091510245215527,5.545186281836398,412.69078854663957,0.5454545454545454,11.054436690064666,walk
23.337864348666628,11.75539396013812,187.45513616194094,0.5384615384615384,23.63572920568933,walk
15.163651666889324,5.968873613159008,334.0094347135166,0.5,6.804261442283796,walk
12.447196702105293,5.206598993743578,156.39271032433035,0.5,6.1350854901137275,walk
10.141745127342151,3.748009191545439,184.74347275595883,0.45,3.1030665511309383,walk
11.842394977878326,4.790494995454007,154.37493174764185,0.36666666666666664,6.751634533846872,walk
13.140478132335335,5.9095078365210485,90.4876518291502,0.5416666666666666,9.509703298020874,walk
11.215179670015335,4.785339043915877,84.0737690807992,0.5,5.9317834569221795,walk
17.17721788307162,8.87673591645724,347.63811152789526,0.6,21.57714967520974,walk
113.51611619591067,30.930563747833467,1167.7202468918117,0.4375,303.5132953259292,active
78.65452130048244,25.979584262176658,735.3484386315456,0.53125,215.25277310540798,active
78.12011851745511,26.66479392500439,1063.2057728511072,0.4473684210526316,211.6466470009027,active
116.67448881189097,27.031220130470412,1448.4385561331273,0.4,392.2987718114946,active
100.91261773630656,22.93591989307147,1324.7641271137861,0.4473684210526316,341.8597881246269,active
59.38975238847044,22.689105135895055,373.26843253543547,0.52,92.12276437072887,active
105.7322064990369,27.395152363431286,1259.0178584143864,0.3,350.94366398352906,active
81.10984818689784,26.605053639499886,1369.3865786326214,0.41379310344827586,257.25094288478,active
100.91261773630656,22.940974605831094,1324.7641271137861,0.43243243243243246,341.71578184377347,active
116.67448881189097,26.958461340815546,1448.4385561331273,0.4,392.6675663957699,active
67.18177055481048,12.476604635720488,1324.3638900978365,0.3333333333333333,29.34957430922688,fall
77.90752338580953,11.379168861047466,1824.6225026587254,0.4666666666666667,32.977951856839326,fall
115.25971400602661,12.269314007897945,1993.1000021461414,0.3055555555555556,104.48254855526616,fall
119.41730825320094,10.567612070666282,2963.5453087488063,0.6666666666666666,37.86202653850523,fall
133.44453722317897,14.341367391951714,1779.7463190781286,0.42857142857142855,179.1020036629845,fall
112.25966087676665,16.82118155941366,2774.167915628007,0.3333333333333333,209.78147853515583,fall
124.60840950123502,15.63923562365114,1829.8216310846983,0.2413793103448276,281.15930566118334,fall
50.333578410174056,12.707233823446167,792.2456925314896,0.3125,37.46508655779678,fall
105.2234350150883,12.899508083277144,2615.3906729661767,0.2727272727272727,70.2758218486527,fall
58.47181260821548,10.923332288302948,1033.5651055175117,0.3939393939393939,12.367149188441374,fall
63.76675536559891,10.094585559518253,1562.7779222834517,0.8333333333333334,11.487803025049061,fall
76.70885311429778,7.957246713847426,1301.7362198722217,0.5483870967741935,45.21514329138202,fall
